V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30
-3.019564574,-1.655601474,-0.517653174,0.045774051,0.796178427,1.816430727,3.211652227,1.683051427,0.029642807,-1.530140474,0.5919456,0.7749688,0.9849501,0.816363,0.9736899,0.8052386,0.7839892,-0.7669792,-0.985796,-0.8490504,-1.9426596,-0.6198754,0.0904496,0.0792236,-0.0044654,-0.789753,-2.0130854,-0.6784734,-0.2518894,-0.6651154
-3.461816902,-2.054694402,-0.803971502,0.077409418,0.846653198,2.087009698,3.334204498,1.721320798,-0.03949242,-1.705853402,0.69368906,1.00660566,1.31444356,1.07978066,1.41527186,1.08393846,0.56867756,-0.98629494,-1.49358994,-0.94197094,-2.26317479,-0.45138239,0.26657121,0.37657221,0.24944261,-0.37817379,-2.12645979,-0.64592079,-0.28954719,-0.71049329
-3.675476923,-2.291869723,-0.633006903,0.110706527,0.809137677,2.292423577,3.703942177,2.059369477,-0.076163303,-2.084358223,0.7965924,1.3150292,1.503236,1.4375905,1.5096481,1.3379528,0.7669651,-0.9480103,-1.3109353,-1.1436403,-2.43105712,-0.59325862,0.30086438,0.34464238,0.20801978,-0.63696062,-2.61119542,-0.99270762,-0.15398722,-0.86156762
-3.543033736,-1.964291136,-0.674412336,0.027579139,0.801009764,2.002340064,3.403425964,1.971382664,0.206344444,-1.692895436,0.57837372,0.90544422,0.99042232,0.86641552,0.93520382,0.83721352,0.38611862,-0.91507368,-0.89578468,-0.80237768,-1.94066546,-0.44753446,0.15952854,0.22609614,0.09690854,-0.58119996,-1.95060046,-0.70554546,-0.05725846,-0.40059546
-3.529072554,-2.110924354,-0.844672454,0.010421666,0.837557746,2.055742446,3.251408646,1.745674246,0.014400736,-1.825263054,0.88872148,1.04045668,1.16328118,1.03411568,1.22022868,1.12859648,0.96392218,-0.96719882,-1.38505902,-0.90668282,-1.96997749,-0.29003549,0.49181501,0.60690851,0.48143851,-0.40334649,-2.01802949,-1.00938549,-0.27901149,-0.76476949
-3.962387556,-2.466620756,-1.222289856,-0.113836806,1.146697844,2.385469444,3.666548744,1.947078444,0.008772038,-1.789927656,1.17407559,1.42845929,1.52504469,1.33594729,1.42279279,1.38862089,1.06083809,-0.87351231,-1.24653691,-0.96593971,-2.34497916,-0.70160166,0.18678234,0.40370334,0.05373334,-1.01850666,-2.61122966,-0.92582266,0.01220934,-0.43033766
-3.191003534,-2.089314934,-0.700480634,0.063179427,0.871431426,2.010605466,3.441320466,1.760111666,0.172792826,-1.391353484,0.4926429,0.8595355,1.1125599,0.8975339,1.0825859,0.9416687,0.5028414,-0.7494281,-0.8985681,-0.7868901,-2.13056556,-0.71014856,0.02481244,0.09034444,-0.03406956,-0.68521156,-2.11741456,-0.88900006,-0.22575656,-0.47310396
-3.181308412,-2.201537012,-0.659510112,-0.034084562,0.749478728,1.961802488,3.023179488,1.663404988,0.028404718,-1.720632412,0.69011938,0.98766748,1.14708428,1.01879168,1.16120288,1.09552138,0.86762488,-0.68162552,-1.24337552,-0.89729412,-1.80748401,-0.36275601,0.64213099,0.64852159,0.47835999,-0.40641801,-1.70588401,-0.54699601,-0.03926801,-0.52496701
-3.415704755,-2.181841655,-0.715039255,0.123907445,1.091415645,2.388388645,3.386072845,1.641461845,-0.006357757,-1.835861755,0.65928159,1.21507859,1.31222029,1.23473319,1.38351459,1.22963709,0.76179919,-0.81861041,-1.21809811,-0.79215741,-2.070358,-0.4453625,0.286242,0.3101305,0.0366745,-0.922626,-2.4098045,-0.7805869,-0.157751,-0.6643875
-3.218277506,-2.166895006,-0.938708006,-0.012101309,0.893958694,2.183858494,2.985220594,1.538314994,-0.043139644,-1.784615706,1.14179588,1.38512988,1.45784958,1.24164448,1.39796718,1.40331088,1.05779088,-0.80195942,-1.55238412,-1.03019182,-2.15689762,-1.13865852,0.01267898,0.17365198,-0.10305402,-1.22051902,-2.12982652,-1.36968902,-0.72364602,-1.09142602
